source_path,repository_path,size_bytes,sha256,role
outputs/c45_physics_weight_sweep/weight_0.pt,one_dimensional/standard/seed_42/data_only.pt,185161,2c54af214e2d93bf15de4acb049052fc85f744740cc0577701eb1a778ad31c04,one-dimensional data-only baseline
outputs/c45_physics_weight_sweep/weight_0p001.pt,one_dimensional/standard/seed_42/physics_constrained.pt,185249,73802b99e5f126eefc96f2aa314031e7e528a17758684674081b155fe7aea560,one-dimensional physics-constrained model
outputs/c45_physics_weight_seed7/weight_0.pt,one_dimensional/standard/seed_7/data_only.pt,185161,6e05bb711740ab4b62de40880e01bb02d2d930c65cd4f5b87f981eaa5b6c1f25,one-dimensional data-only baseline
outputs/c45_physics_weight_seed7/weight_0p001.pt,one_dimensional/standard/seed_7/physics_constrained.pt,185249,6767f59d19c9e93c5723c96cd885033daf69de3033ad9d1692241b54c2ccb734,one-dimensional physics-constrained model
outputs/c45_physics_weight_seed123/weight_0.pt,one_dimensional/standard/seed_123/data_only.pt,185161,2ba0fb456a19b1c5d115c5ca44d1ec96efbe1e2e18375d3c29d2d5e2f6292a42,one-dimensional data-only baseline
outputs/c45_physics_weight_seed123/weight_0p001.pt,one_dimensional/standard/seed_123/physics_constrained.pt,185249,0123d10bf6cf1fb684386f23b0637e695d6667b12be4e0302cffacabf7f9ca1b,one-dimensional physics-constrained model
outputs/c45_effective_boundary/seed_42/weight_0.pt,one_dimensional/effective_boundary/seed_42/data_only.pt,184713,eeec270cb6bc8c534fc86e57090a0ab4f6ca26a2a772c85e6e8d90e0b7dc729d,effective-boundary data-only baseline
outputs/c45_effective_boundary/seed_42/weight_0p001.pt,one_dimensional/effective_boundary/seed_42/physics_constrained.pt,184801,bd85c10a1e2822d6b7b1eab90df859eeeb6903ca608a38ea15ef2a787d5ac337,effective-boundary physics-constrained model
outputs/c45_effective_boundary/seed_7/weight_0.pt,one_dimensional/effective_boundary/seed_7/data_only.pt,184713,65fc410ac88a1ff2484810ee87999b328c5ef5d40555536cc5042a717dfd71ac,effective-boundary data-only baseline
outputs/c45_effective_boundary/seed_7/weight_0p001.pt,one_dimensional/effective_boundary/seed_7/physics_constrained.pt,184801,0664185f9b29320165f42fb9e288009a9540d70bab30956d5f22ef375d56d105,effective-boundary physics-constrained model
outputs/c45_effective_boundary/seed_123/weight_0.pt,one_dimensional/effective_boundary/seed_123/data_only.pt,184713,11fa5787b55f1454865d5a6525d584a4e56ff63229d43f4b29ad6fa86dc58034,effective-boundary data-only baseline
outputs/c45_effective_boundary/seed_123/weight_0p001.pt,one_dimensional/effective_boundary/seed_123/physics_constrained.pt,184801,33ead3421158fd25c841eba79a762c31cc6c06d731194a7d9514ca70c5cf6cd1,effective-boundary physics-constrained model
outputs/c45_three_dimensional_17x13x9/data_only.pt,three_dimensional/17x13x9/data_only.pt,230934,02a8adb52357ca5be2d000035f8fd61cf1dfed9c3454d2edac10d90f42b2b9c9,three-dimensional data-only baseline
outputs/c45_three_dimensional_17x13x9/physics_constrained.pt,three_dimensional/17x13x9/physics_constrained.pt,231308,797e7634cc89566752d6a118735f699712489eb198b493f259ed6d13895f5900,three-dimensional physics-constrained model
